episode,duration_s,velocity_rmse,retention,displacement_m,survived
0,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
1,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
2,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
3,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
4,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
5,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
6,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
7,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
8,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
9,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
10,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
11,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
12,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
13,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
14,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
15,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
16,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
17,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
18,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
19,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
20,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
21,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
22,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
23,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
24,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
25,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
26,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
27,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
28,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
29,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
30,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
31,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
32,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
33,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
34,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
35,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
36,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
37,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
38,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
39,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
40,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
41,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
42,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
43,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
44,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
45,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
46,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
47,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
48,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
49,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
50,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
51,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
52,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
53,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
54,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
55,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
56,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
57,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
58,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
59,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
60,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
61,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
62,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
63,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
64,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
65,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
66,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
67,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
68,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
69,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
70,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
71,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
72,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
73,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
74,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
75,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
76,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
77,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
78,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
79,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
80,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
81,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
82,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
83,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
84,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
85,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
86,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
87,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
88,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
89,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
90,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
91,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
92,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
93,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
94,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
95,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
96,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
97,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
98,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
99,0.42,1.0619199229817224,0.125,-0.3156598113431302,False
