episode,duration_s,velocity_rmse,retention,displacement_m,survived
0,3.64,0.38025107316705536,0.8135283363802559,0.1862308509515675,False
1,7.44,0.2304727891159206,0.8594449418084154,0.7865149078872434,False
2,7.84,0.2761984411266924,0.8538657604078165,0.779149468580936,False
3,3.04,0.4255145902443548,0.787746170678337,0.07369518627193607,False
4,5.64,0.2707199299145515,0.8181818181818182,0.49326534982459364,False
5,4.86,0.34464844383103016,0.8479452054794521,0.3680640715083198,False
6,6.7,0.29426094365052535,0.8697813121272365,0.6171572372455256,False
7,4.22,0.34340581420887106,0.8296529968454258,0.29891688948080325,False
8,4.24,0.3750801094982759,0.8131868131868132,0.24433319991285,False
9,2.46,0.5034323778127842,0.772972972972973,-0.011712895327269005,False
10,6.38,0.2812468019782517,0.884133611691023,0.6032245045544337,False
11,4.24,0.3461634678838322,0.8398744113029827,0.28001883861181376,False
12,1.84,0.525323057679152,0.7725631768953068,-0.06243119183430033,False
13,6.24,0.2450921577294105,0.8569903948772679,0.6134810923928916,False
14,9.02,0.24118079542519735,0.8906942392909897,0.9890914838317697,False
15,4.86,0.3526473271537314,0.8232876712328767,0.3628454359533825,False
16,9.0,0.24682414608412273,0.8756476683937824,0.994338139827631,False
17,9.08,0.2531441505437121,0.8855465884079237,0.9617103465753676,False
18,10.0,0.08738377542520909,0.9180546302465024,1.4165253749073305,True
19,9.0,0.24811433032092292,0.8689859363434493,0.9826279870085741,False
20,10.0,0.08829347095405264,0.899400399733511,1.3981492955102364,True
21,5.46,0.3440841537152446,0.802439024390244,0.4083274706452381,False
22,5.04,0.2723911378760694,0.8705416116248349,0.42663854173770316,False
23,6.24,0.2404591731719428,0.8580576307363927,0.608306393655229,False
24,10.0,0.09796220651687768,0.9360426382411725,1.4113303735666078,True
25,10.0,0.09808802279292568,0.8914057295136576,1.3979572165259624,True
26,1.24,0.6475034478640019,0.7058823529411765,-0.15701727289284165,False
27,10.0,0.08907852976597591,0.9067288474350433,1.4019013711126282,True
28,10.0,0.09272528943276312,0.9153897401732178,1.424690219746253,True
29,10.0,0.09191157321948079,0.9000666222518321,1.3968504662296841,True
30,9.08,0.25683597709653405,0.8539985326485693,0.9312224490224567,False
31,8.2,0.258852323024096,0.90089358245329,0.8559490452278425,False
32,10.0,0.09179927433241088,0.905396402398401,1.4273007690860828,True
33,5.04,0.28213043586066827,0.8177014531043593,0.4242069402329768,False
34,10.0,0.08876696750836882,0.8927381745502998,1.4010682287752132,True
35,9.040000000000001,0.2609630660818648,0.8983050847457628,0.9525627554240286,False
36,6.24,0.2616774220272022,0.8356456776947705,0.571735393227584,False
37,4.24,0.3592628598749348,0.8178963893249608,0.2571672913017405,False
38,10.0,0.12163384194756453,0.899400399733511,1.385936561299651,True
39,3.38,0.39355824713462606,0.812992125984252,0.1487153130555026,False
40,6.68,0.311887629187688,0.8444666001994018,0.5770693732690041,False
41,1.84,0.5484148127985735,0.7220216606498195,-0.09453230236395703,False
42,0.26,1.4145063023705966,0.38461538461538464,-0.27556911094389214,False
43,9.98,0.22944450467277247,0.8778371161548731,1.100467979702289,False
44,5.66,0.29070444906105025,0.8176470588235294,0.4621068424140245,False
45,10.0,0.10079630382613146,0.8867421718854097,1.3962172577963443,True
46,10.0,0.10035624129331729,0.9020652898067955,1.3718239993585837,True
47,2.64,0.3412677468957158,0.7808564231738035,0.09899218583133519,False
48,1.56,0.5271843656927733,0.7276595744680852,-0.09987768094718669,False
49,10.0,0.09244293184919339,0.9173884077281812,1.4042314078017486,True
50,4.24,0.35919813176919685,0.8226059654631083,0.264594424261323,False
51,1.84,0.5282174609884543,0.7581227436823105,-0.05919108907930096,False
52,3.66,0.41869314165539573,0.86,0.16243162513818643,False
53,10.0,0.1069378169207577,0.8867421718854097,1.3956033882598924,True
54,10.0,0.08545009278930285,0.8794137241838774,1.4056210963308604,True
55,10.0,0.10174724785987814,0.893404397068621,1.4354361996226594,True
56,1.84,0.5427714790448914,0.7220216606498195,-0.07962852330963968,False
57,1.84,0.5236414768261471,0.7725631768953068,-0.06106477409841923,False
58,10.0,0.09884967225900367,0.905396402398401,1.4173158584870003,True
59,2.44,0.46452139539779785,0.8092643051771117,0.01826925167521258,False
60,4.2,0.3637633364446792,0.8193343898573693,0.2637305507315348,False
61,7.88,0.28630293075950286,0.8453085376162299,0.7733002561244776,False
62,10.0,0.0910355426564577,0.8960692871419054,1.4165932697036971,True
63,2.44,0.4627166576337839,0.782016348773842,0.02402014910322404,False
64,10.0,0.08805695948413148,0.8607594936708861,1.4143671682529748,True
65,10.0,0.08739780984926264,0.9120586275816123,1.4151088309453057,True
66,9.02,0.23979949936644743,0.8737075332348597,0.9733042178631452,False
67,10.0,0.08842127071715022,0.8974017321785477,1.4180992958743281,True
68,1.44,0.47839145016635853,0.7188940092165899,-0.08096458932085586,False
69,10.0,0.09721289994673572,0.9347101932045303,1.4369101436330791,True
70,10.0,0.08613990606526917,0.8794137241838774,1.3993003789269542,True
71,10.0,0.1017400043837581,0.9007328447701533,1.4147834904675831,True
72,5.66,0.2948353266752528,0.8176470588235294,0.45530564466138573,False
73,10.0,0.09346802041446434,0.8927381745502998,1.407489607982004,True
74,5.0200000000000005,0.2648712951331968,0.8222811671087533,0.4342086994453848,False
75,10.0,0.08932607524813921,0.8807461692205196,1.388151099607014,True
76,1.24,0.644108620367684,0.7058823529411765,-0.15643119371467837,False
77,10.0,0.09641274748821069,0.9073950699533644,1.4186179207339575,True
78,10.0,0.10460766546329855,0.894070619586942,1.4302105386262876,True
79,8.040000000000001,0.23390717226293167,0.8574979287489644,0.8351199435324209,False
80,10.0,0.10613395364164852,0.8974017321785477,1.4380564815703476,True
81,10.0,0.08772318251841596,0.9020652898067955,1.3894910915342973,True
82,3.84,0.2977376461273487,0.8232235701906413,0.2550625779913198,False
83,4.2,0.344167277018726,0.8019017432646592,0.29254918352810266,False
84,9.26,0.23998663521624353,0.8553956834532375,0.9679279818269297,False
85,10.0,0.09217311189592588,0.9093937375083277,1.4230434456573082,True
86,5.18,0.2945519824627291,0.8650385604113111,0.4485092379861081,False
87,10.0,0.09120112189429286,0.8834110592938041,1.3951073806840553,True
88,9.02,0.2611752339692753,0.8737075332348597,0.9477472782809069,False
89,7.44,0.23770291755214285,0.8272157564905999,0.7566877084910942,False
90,2.7600000000000002,0.3867168722785882,0.8674698795180723,0.10795663279740424,False
91,5.44,0.3285130591082563,0.8482252141982864,0.454019828314012,False
92,0.98,0.6529379887393277,0.7432432432432432,-0.16515938720474202,False
93,10.0,0.07992787479376415,0.9267155229846769,1.4157283700246464,True
94,6.38,0.26078993563665764,0.8517745302713987,0.6360117095209556,False
95,2.46,0.5039177773269649,0.8,-0.01210875971092198,False
96,10.0,0.09115057499245782,0.8927381745502998,1.397568149986215,True
97,4.22,0.34259272547695524,0.7933753943217665,0.28461289536198786,False
98,10.0,0.09812525841052305,0.8907395069953364,1.4086694963532131,True
99,8.64,0.21401496594041827,0.8573631457208943,0.9553929260925222,False
